SECTIONS,COMMENTARY,KEY HIGHLIGHTS,FRAMEWORKS APPLIED
"How We
5 Safeguard
Value
Read more from
page 106 to 147","This section provides a detailed
corporate governance and
remuneration practices, including
the Group’s remuneration policy","• Risk Management
• Board of Directors
• Corporate Governance
Statement
• Governance Auditor’s
Report","• Basel II
• Companies Act
• Banking Act
• CBK Prudential
• Guidelines
• King IVTM Code
• <IR> Framework
• IFRS"
"Annual
6
Financial
Statements
Read more from
page 150 to 317","This section sets out the Group’s
full audited annual financial
statements.","• Corporate Information
• Report of the Directors
• Statement of Directors’
Responsibilities
• Directors’ Remuneration
Report
• Independent Auditors
Report
• Annual Financial
Statements","• IFRS
• Companies Act
• CBK Risk Management
• Guidelines
• Banking Act
• CBK Prudential
• Guidelines
Assurance
• Unmodified audit opinion
expressed by KPMG Kenya"
"Additional
7
Information
Read more from
page 320 to 325","This section includes other
documents such as the Annual
General Meeting (AGM) Notice and
the Proxy Form","• Group Shareholding
• Notice of Annual General
Meeting
• Proxy Form","• Companies Act
• CMA Guidelines"
