42,"CONCENTRATIONS OF ASSETS, LIABILITIES AND OFF BALANCE SHEET ITEMS",Column,Column,Column,Column,Column,Column
,"Details of significant concentrations of the banks assets, liabilities and off balance sheet items byindustry groups are as",,,,,,
,detailed below:,,,,,,
,(a),Loans and Advances to customers,,,,,
,,,2004,2004,2003,2003,
,,,Sh'OOO,%,Sh'OOO,%,
,Agriculture,,"1,017,752",9,"614,634",7,
,Manufacturing,,"1,716,115",15,"1,574,219",19,
,Wholesale and retail trade,,"1,737,751",15,"1,274,208",15,
,Transport and communications,,"2,218,371",18,"1,263,056",14,
,Real estate,,"81,800",1,"47,594",1,
,Social community and personal services,,"134,675",1,"45,789",1,
,Electricity and water,,"10,150",0,"2,922",0,
,Business services,,"2,424,387",21,"1,643,329",20,
,Other,,"2,397,335",20,"1,941,553",23,
,,,"11,738,336",100,"8,407,304",100,
,(b),Customer deposits,,,,,
,Non-profit institutions,,"5,075,935",40,"4,566,920",45,
,Private enterprises,,"6,936,439",54,"4,847,684",47,
,Insurance companies,,"688,209",5,"478,514",5,
,Non public enterprises,,"169,130",1,"228,734",2,
,Central Government,,"6,000",0,"52,172",1,
,Co-operative societies,,"2,303",0,"2,828",0,
,,,"12,878,016",100,"10,176,852",100,.;
