Column,Column,Level 1,Level 2,Level 3,Total
,Note,,,,
,,Kshs’000,Kshs’000,Kshs’000,Kshs’000
At 31 December 2011,,,,,
Assets,,,,,
Trading assets,20,"39,864","14,874,738",-,"14,914,602"
Financial investments,20,-,"6,904,280",-,"6,904,280"
Pledged assets,19,-,"3,643,897",-,"3,643,897"
,,"39,864","25,422,915",-,"25,462,779"
Comprising:,,,,,
Held-for-trading,20,"39,864","9,515,119",-,"9,554,983"
Designated at fair value through profit or loss,20,-,"5,359,619",-,"5,359,619"
Available-for-sale,,-,"10,520,006",-,"10,520,006"
,,"39,864","25,394,744",-,"25,434,608"
Derivative assets,30,-,"6,377,410",-,"6,377,410"
,,-,"6,377,410",-,"6,377,410"
Comprising:,,,,,
Held-for-trading,,-,"6,377,410",-,"6,377,410"
,,-,"6,377,410",-,"6,377,410"
Liabilities,,,,,
Trading Liabilities,21,-,"648,671",-,"648,671"
Derivative liabilities,30,,"6,429,260",-,"6,429,260"
,,-,"7,077,931",-,"7,077,931"
Comprising:,,,,,
Designated at fair value through profit or loss,,-,"648,671",-,"648,671"
Held-for-trading,,,"6,429,260",-,"6,429,260"
,,-,"7,077,931",-,"7,077,931"
