Column,Column,Number,Ordinary share
,,of shares,capital
,,'OOOs',Sh'OOO
35,SHARE CAPITAL,,
,"Balance at 1""January 2004","120,000","600,000"
,Bonus issue of shares,"24,000","120,000"
,"At 31"" December 2004","144,000","720,000"
