"31 December 2018
Asset class
Corporate
Sovereign
Group
Retail
Retail mortgage
Other retail
Total",Column,Column,Column,Column,Column,Collateral coverage - Total,Column,Column
,Total exposure,"Unsecured
exposure","Secured
exposure","Netting
agreements","Secured exposure
after netting","Greater than0%
to 50%","Greater than 50%
to 100%","Greater than
100%"
,"8 0,118,936
7 2,272,035
2 1,306,058","14,170,709
72,272,035
21,306,058","65,948,227
-
-","-
-
-","6 5,948,227
-
-","-
-
-","65,948,227
-
-","-
-
-"
,"7 7,735,641","9,937,393","67,798,248",-,"5 7,637,510",-,"57,637,510",-
,"2 1,013,697
5 6,721,944","-
9,937,393","21,013,697
46,784,551","-
-","2 1,013,697
3 6,623,813",-,"21,013,697
36,623,813","-
-"
,"2 51,432,670","117,686,195","133,746,475",-,"1 23,585,737",-,"123,585,737",-
"Less: Impairments for loans and advances
Total exposure","(11,267,987)",,,,,,,
,"2 40,164,684",,,,,,,
"31 December 2017
Asset class
Corporate
Sovereign
Group
Retail
Retail mortgage
Other retail
Total
Less: Impairments for loans and advances
Total exposure",,,,,,Collateral coverage - Total,,
,Total exposure,"Unsecured
exposure","Secured
exposure","Netting
agreements","Secured exposure
after netting","Greater than0%
to 50%","Greater than 50%
to 100%","Greater than
100%"
,"1 12,912,959
8 1,938,218
1 2,640,509","10,172,724
81,938,218
12,640,509","102,740,235
-
-","-
-
-","1 02,740,235
-
-","-
-
-","102,740,235
-
-","-
-
-"
,"7 1,401,695","7,597,906","63,803,789",-,"6 3,803,789",-,"63,803,789",-
,"2 5,411,817
4 5,989,878","-
7,597,906","25,411,817
38,391,972","-
-","2 5,411,817
3 8,391,972","-
-","25,411,817
38,391,972","-
-"
,"2 78,893,381","112,349,357","166,544,024",-,"1 66,544,024",-,"166,544,024",-
,"(5,264,005)",,,,,,,
,"2 73,629,376",,,,,,,
