Column,Column,Level 1,Level 2,Level 3,Total
At 31 December 2025,Note,KShs Million,KShs Million,KShs Million,KShs Million
,,"21,377",‑,‑,"21,377"
,20 (a),‑,"56,043",‑,"56,043"
,21,‑,"33,167",‑,"33,167"
,25 (b),‑,‑,18,18
,33.5,‑,674,‑,674
,,"21,377","89,884",18,"111,279"
,20 (b),‑,"16,036",‑,"16,036"
,33.5,‑,"1,161",‑,"1,161"
,,-,"17,197",-,"17,197"
