"Consecutive
number","Mandatory or “apply or
explain” or “good practices”","Part
number",Question,"Kenya code and other
references"
19,M,B.12,"Is the Board comprised of a majority of
Non-executive Board members?",2.1.3
20,M,B.13,"Does the Board ensure a smooth transition of
Board members?",2.1.8
21,M,B.14,"Has the Board established an Audit Committee
according to Code requirements?","2.2.4, 6.5.1, 2.1.7"
22,M,B.15,"Are the functions of the Chairperson and the
Chief Executive Officer exercised by different
individuals?",2.3.3
23,M,B.16,"Is the Chairman of the Board a Non-executive
Board member?",2.3.4
24,A or E,B.17,"Has the Board established procedures to allow
its members access to relevant, accurate and
complete information and professional advice?",2.3.5
25,M,B.18,"Has the Board adopted a policy on managing
conflict of interest?",2.3.8
26,M,B.19,"Has the Board adopted a policy on related
party transactions which meets the
requirements of the Code?",2.3.7
