"Notes (continued)
26 Property and equipment (continued)
26 (b) COMPANY
Computer Equipment",Column,Column
"Cost
At 1 January
At 31 December
Depreciation
At 1 January
Charge for the year
At 31 December
Carrying amount at 31 December","2024
KShs
Million","2023
KShs
Million"
,2,2
,2,2
,"(2)
-","(2)
-"
,(2),(2)
,-,-
"The Group’s work in progress is composed of refurbishments and equipment for branches and projects that had
not been completed as at year end. The total amount disclosed as property and equipment is non-current.
As at31December 2024and 31December 2023,there were no items of propertyand equipment pledged bythe
GroupandCompanytosecureliabilities.Noitemsof propertyandequipmentwere obtainedfrom borrowedfunds
hence no capitalization of borrowing costs.
Revaluation of land and buildings
The revaluation reserve in equity relates to the value of the Stanbic office in Chiromo at the point of merger
between CFC Bank and Stanbic Bank in 2008. The fair value of the properties was determined using the market
comparable method. This means that valuations performed by the valuer were based on active market prices,
significantly adjusted for differences in the nature, location or condition of the specific property.
27 Right-of-use leasehold land
GROUP",,
,2024,2023
,"KShs
Million","KShs
Million"
"Cost
At 1 January
At 31 December
Amortisation
At 1 January
Charge for the year
At 31 December
Carrying amount at 31 December",85,85
,85,85
,"( 52)
( 3)","( 49)
( 3)"
,( 55),( 52)
,30,33
"This relates to land leased bythe Group from the Government of Kenya for a lease term period of 99 years. The
total amount disclosed as a lease liability in respect of this lease is non-current.",,
