Responses,Column,Column
"Application – FA, PA or NA
– see Notes 1, 2, 3 and 4",Application or Explanation – Note 2,Source of information
FA,"Yes. As part of our engagement with stakeholders,
we have identified the environmental, social and
governance issues presenting significant
risks and opportunities to our business, and our
ability to create value. Prioritised themes for
disclosure and engagement with stakeholders are
contained in the 2020 Annual Integrated Report
and reflected on the Company website. These
issues are also covered in the Group Code of
Ethics. Further, the Group Stakeholder
Engagement Guidelines have also been approved
by the Board and adopted and made available on
the Company’s website.",
FA,"Yes, through the Articles of Association. Further,
the necessary policies and procedures have been
implemented in the Company’s subsidiaries. A
Group Stakeholder Engagement Guideline is in
place and available on the Company’s website.",
FA,"Yes. This is done through issuing public notices
via the media and the Company website and
where required by law, seeking approval from
shareholders at an AGM. The Company (and its
subsidiaries) is also guided by its policies stated
above.",
