"3,544,417","2,998,370","6,542,787"
"6,675,612","873,945","7,549,557"
"(70,529)","(564,900)","(635,429)"
"(1,627,741)","(1,915,646)","(3,543,387)"
"(2,926,808)","(2,398,632)","(5,325,440)"
"5,594,951","(1,006,863)","4,588,088"
"(1,752,673)","174,476","(1,578,197)"
"3,842,278","(832,387)","3,009,891"
"107,843,712","35,368,443","143,212,155"
"52,157,527","26,326,301","78,483,828"
"1,931,831",-,"1,931,831"
"47,407,214","27,499,549","74,906,763"
"1,179,894","1,188,492","2,368,386"
"9,349,759",-,"9,349,759"
"413,486","620,944","1,034,430"
"84,104,837","31,866,430","115,971,267"
"4,549,403","2,148,328","6,697,731"
"2,469,648",-,"2,469,648"
"141,066","142,094","283,160"
"7,895","8,256","16,151"
"312,331","324,165","636,496"
