Column,Total,Column,Sudan,Column,Kenya,Column
,2014,"2013
Kshs’000",2014,2013,2014,2013
,Kshs’000,,Kshs’000,Kshs’000,Kshs’000,Kshs’000
Interest income,"11,642,456","10,336,492
(2,794,378)","10,077","27,891","11,632,379","10,308,601"
Interest expense,"(3,180,512)",,-,-,"(3,180,512)","(2,794,378)"
Net interest income,"8,461,944","7,542,114","10,077","27,891","8,451,867","7,514,223"
,,"(766,601)",,,,
"Impairment losses on loans
and advances","(702,822)",,-,-,"(702,822)","(766,601)"
"Net interest income after
loan impairment charges","7,759,122","6,775,513","10,077","27,891","7,749,045","6,747,622"
,,"3,189,124
(308,398)",,,,
Fees and commission income,"3,586,823",,"499,039","621,734","3,087,784","2,567,390"
"Fees and commission
expense","(279,176)",,"(11,798)","(26,228)","(267,378)","(282,170)"
"Net fees and commission
income","3,307,647","2,880,726","487,241","595,506","2,820,406","2,285,220"
,,"5,659,242
121,000",,,,
Trading income,"4,779,321",,"877,397","1,231,480","3,901,924","4,427,762"
Net other operating income,"321,583",,16,-,"321,567","121,000"
"Net trading and other
income","5,100,904","5,780,242","877,413","1,231,480","4,223,491","4,548,762"
,,"(4,030,095)
(623,358)
(3,559,023)",,,,
Employee benefits,"(4,472,141)",,"(286,264)","(278,394)","(4,185,877)","(3,751,701)"
"Depreciation and
amortisation expense","(556,912)",,"(33,093)","(31,663)","(523,819)","(591,695)"
Administrative expenses,"(3,438,375)",,"(495,904)","(620,677)","(2,942,471)","(2,938,346)"
Profit before tax,"7,700,245","7,224,005","559,470","924,143","7,140,775","6,299,862"
,,"(2,096,849)",,,,
Income tax expense,"(2,013,585)",,"(88,571)","(176,836)","(1,925,014)","(1,920,013)"
Profit for the year,"5,686,660","5,127,156","470,899","747,307","5,215,761","4,379,849"
