"Dec 2022
KES m","Dec 2021
KES m"
"83,551","59,535"
"30,962","44,008"
"235,867","185,313"
"36,402","26,654"
"2,861","2,991"
"10,187","10,371"
"399,830","328,872"
"32,753","12,243"
"271,564","242,345"
"10,141","5,700"
"23,174","12,132"
"337,632","272,420"
"62,198","56,452"
"399,830","328,872"
"76,434","78,713"
"3,033","3,919"
"73,401",
