Column,2012,2011
,Kshs’000,Kshs’000
Tier 1 capital (Core capital),,
Share capital,"3,411,549","2,441,375"
Share premium,"3,444,639","534,118"
Foreign currency translation reserve,"(35,105)",-
Retained earnings,"10,212,665","7,179,049"
Total Tier 1 capital (Core capital),"17,033,748","10,154,542"
Tier 2 capital,,
Statutory credit risk reserve,,"124,232"
Borrowings,"4,197,234","5,077,271"
Total Tier 2 capital,"4,197,234","5,201,503"
Total capital (Tier 1 + Tier 2),"21,230,982","15,356,045"
Risk - Weighted assets,,
On-balance sheet,"77,475,404","72,268,822"
Off-balance sheet,"5,651,901","8,386,609"
Total risk - weighted assets,"83,127,305","80,655,431"
Capital adequacy ratios,,
Core capital / total risk - weighted assets,20.50%,12.59%
Minimum regulatory requirement,8.00%,8.00%
Total capital / total risk - weighted assets,25.50%,19.04%
Minimum regulatory requirement,12.00%,12.00%
