(a),Primary reporting format -Business segments,Column,Column,Column,Column,Column,Column
,,BANKING SERVICES,,INSURANCE,,GROUP,
,,2004,2003,2004,2003,2004,2003
,,Sh'OOO,Sh'OOO,Sh'OOO,Sh'OOO,Sh'OOO,Sh'OOO
Income,,"1,491,018","1,348,965","2,404,277","1,382,630","3,895,295","2,731,595"
Expenditure,,"1,159,218","1,068,957","1,855,181","1,132,672","3,014,399","2,201,629"
Segment result,,"331,800","280,008","549,096","249,958","880,896","529,966"
Taxation,,,,,,"215,442","114,858"
Profit after taxation,,,,,,"665,454","415,108"
Assets,,"16,666,711","13,474,286","13,148,851","2,956,060","29,815,562","16,430,346"
Goodwill,,,,"1,084,647",,"1,084,647",
Liabilities,,"14,575,906","11,505,038","9,428,173","2,265,490","24,004,079","12,785,857"
Capital expenditure,,"61,918","66,511","33,238","34,689","95,156","101,200"
Depreciation and amortisation,,"69,367","65,991","23,795","30,439","93,162","96,430"
