"Notes (continued)
GROUP COMPANY",Column,Column,Column,Column,Column
12 Other income,,"2021
KShs Million","2020
KShs Million","2021
KShs Million","2020
KShs Million"
"Gain on disposal of property and
equipment
Dividend income",,"-
-","4
-
34","-
2,235","-
2,320"
,Other income,47,,-,-
,,47,38,"2,235",
13 Employee benefits expense,,,,,
"Salaries and wages
Retirement benefit costs",,"6,027
492","5,478
451","34
2","-
-"
,,"6,519","5,929",36,-
Included in retirement benefit costs are;,,,,,
"Defined contribution scheme
National Social Security Fund",,"488
4","447
4","-
-","-
-"
,,492,451,-,-
Average staff numbers for the year;,,,,,
"Management
Supervisory
Clerical and other categories
Total",,"399
420
248","3 65
4 25
2 09","-
-
-","-
-
-"
,,"1 ,067",9 99,-,-
14 Breakdown of expenses by nature GROUP COMPANY,,,,,
Notes,,"2021
KShs Million","2020
KShs Million","2021
KShs Million","2020
KShs Million"
"Employee benefits 13
Audit fees
Directors’ fees
Depreciation of property and
26
equipment
Depreciation on right-of use
30
assets
Amortisation of right-of-use
27
leasehold land
Amortisation of intangible assets 28
Franchise fees 42 (i)",,"6,519
41
83
498
352
3
312
732","5,929
43
59
473
458
3
328
675","3 6
3
9
-
-
-
-
-","-
3
9
-
-
-
-
-"
