"Notes (continued)
23 Loans and advances (continued)
23 (d) Credit impairment losses GROUP",Column,Column
"Note
Loans impairment (credit)/charge for financial assets
Loans impairment for customer loans","2021
KShs Million","2020
KShs Million"
,"8
2,916","14
4,978"
Loans impairment charge/(credit) for performing bank loans,(3),3
"Loans impairment for non-performing off balance sheet
43 (c)
Letters of credit and guarantees
Loans impairment for performing off balance sheet Letters of
43 (c)
credit and guarantees
Amounts recovered during the year
Net credit impairment losses","39
(10)
(426)","-
2
(121)"
,"2,524","4,876"
"The Directors are of the opinion that net recoverable amounts are reasonable and are expected to be realised
based on past experience.
23 (e) Vehicle and asset finance
The Group holds contracts with customers where the Group finances the purchase of assets under a series of
contracts which transfer title to the Group as security for the loan. The Group receives the loan repayments
and sets off the repayments against the principal loan and interest.
GROUP",,
"Maturity analysis:
Not later than 1 year
Later than 1 year and not later than 5 years
Later than 5 years","2021
KShs Million","2020
KShs Million"
,"2,046
8,536
146","2,199
10,069
859"
,"10,728","13,127"
