Column,2012,2011
,Shs’000,Shs’000
Impaired loans and advances,"1,048,363","861,523"
Provision for impairment losses (note 22 (d)),"(751,473)","(592,583)"
Recoverable amount of impaired loans and advances,"296,890","268,940"
Interest in suspense,"190,179","181,925"
