Column,Column,Column,2004,Column,2003
7,OPERATING EXPENSES,,Sh'OOO,,Sh'OOO
,Insurance claims incurred,,"1,104,942",,"758,030"
,Staff costs (Note 8),,"701,037",,"505,491"
,Other costs,,"503,261",,"282,708"
,Depreciation,,"78,762",",","83,029"
,Feesand commissions,,"80,726",,"48,619"
,Directors' emoluments:-,,,,
,,-asdirectors,"9,896",,"7,946"
,,-asexecutives,"35,885",,"31,205"
,Operating lease rentals - property,,"52,459",,"32,894"
,Amortisation -intangible assets,,"12,237",,"10,770"
,,-goodwill,,,"2,281"
,,- operating lease,"2,163",,350
,Contribution to Deposit Protection Fund,,"13,991",,"6,439"
,Auditors' remuneration,,"6,821",,"5,957"
,Losson disposal of equipment,,,,"3,478"
,,,"2,602,180",,"1,779,197"
8,STAFF COSTS,,,,
,Salaries and benefits,,"656,756",,"463,600"
,Pension contributions,,"35,591",,"32,460"
,Termination benefits,,"7,330",,"8,645"
,NSSF,,967,,786
,Other staff costs,,393,,
,,,"701,037",,"505,491"
,The number of employees for the group has been disclosed in Note 3.,,,,
9,TAXATION,,,,
,(a),Taxation expense:,,,
,,Current tax at 30%,"225,658",,"134,524"
,,Prior year overstatement in tax expense,(564),,"(15,807)"
,,,"225,094",,"118,717"
,Deferred tax:,,,,
,(Credit) (Note 29{a)),,"(15,324)",,"(2,861)"
,Debit/{credit) (Note 29{b)),,"5,672",,(998)
,,,"(9,652)",,"(3,859)"
,,,"215,442",,"114,858"
