Group,Column,Company
"2013
KShs’000",,"2013
KShs’000"
"85,499","85,499",-
"85,499","85,499",-
"(19,784)
(2,954)","(16,830)
(2,954)","-
-"
"(22,738)","(19,784)",-
"62,761","65,715",-
