2016,Column,2016,Column
KShs'000,,KShs'000,
,"4,905,734",,
"4,418,589",,"2,832,559",
,"(1,029,308)
2,087
(70,719)",,
"220,306",,-,
"(69,471)",,-,
"39,981",,-,
"190,816","(1,097,940)",-,-
"4,609,405","3,807,794","2,832,559","2,381,622"
