June-16,June-15,Change
Kes millions,Kes millions,%
"59,458","60,693",
"12,392","20,341",
"108,485","100,176",
"19,708","19,558",
"2,257","2,778",
"10,042","9,755",
"212,342","213,301",
"43,852","47,631",
"111,371","111,923",
"6,485","6,480",
"13,033","8,665",
"37,601","38,602",
"212,342","213,301",
"29,898","17,332",
"6,954","6,277",
"22,944","11,055",
