"Group and Company statement of other comprehensive income
GROUP COMPANY",Column,Column,Column,Column,Column
,,GROUP,,COMPANY,
,,Year ended 31 December,,Year ended 31 December,
"Profit for the year
Other comprehensive income for the year, net of income tax
Items that may be reclassified to profit or loss
Currency translation differences for foreign operations
Net gains/ (loss) in debt financial assets measured at fair value
through other comprehensive income (FVOCI)*
Total other comprehensive income for the year, net of income
tax
Total comprehensive income for the year","Note
21.2","2024
KShs. Million","2023
KShs. Million","2024
KShs. Million","2023
KShs. Million"
,,"13,716
( 951)
422","12,158
( 223)
( 144)","6,172
-
-","5 ,561
-
-"
,,(529),(367),-,-
,,"13,187","11,791","6,172","5,561"
"* Income tax relating to each component of other comprehensive income is disclosed in note 38
The notes on pages 20 to 175 form an integral part of these consolidated and separate financial statements",,,,,
