Column,Column,2f>0.4,2003
,Note,Sh'OOO,Sh'OOO
,,,(Restated)
INTEREST INCOME,4,"1,450,494","1,103,918"
INTEREST EXPENSE,5,"(337,076)","(311,687)"
NET INTEREST INCOME,,"1,113,418","792,231"
Feesand commission income,,"350,702","251,380"
Foreign exchange trading income,,"90,324","27,111"
Other operating income,6,"1,985,863","1,361,484"
OPERATING INCOME,,"3,540,307","2,432,206"
Operating expenses,7,"(2,602,180)","(1,779,197)"
Badand doubtful debts expense,19,"(75,143) .","(115,248)"
OPERATING PROFIT,,"862,984","537,761"
SHARE OF PROFIT/(LOSS) IN ASSOCIATES,20,"17,912","(7,795)"
PROFIT BEFORE TAXATION,,"880,896","529,966"
TAXATION,9,"(215,442)","(114,858)"
PROFIT AFTER TAXATION,10,"665,454","415,108"
MINORITY INTEREST,11,"(89,669)","(82,693)"
PROFIT ATTRIBUTABLE TO LONG TERM BUSINESS,12,"(142,737)","(33,058)"
NET PROFIT FOR THE YEAR AITRIBUTABLE TO,,,
SHAREHOLDERS,,"433,048","299,357"
,,Sh,Sh
EARNINGS PER SHARE -BASIC/DILUTED,13,3.01,2.08
DIVIDEND PER SHARE,14,0.84,0.84
