Column,USD,GBP,EUR,Others,Total
Assets,,,,,
,"12,547",536,"3,912","1,743","18,738"
,"87,278","1,256","10,602",37,"99,173"
,"6,608",‑,‑,‑,"6,608"
,"33,968","1,584","1,685",708,"37,945"
,"1,288",5,"2,812",502,"4,607"
,"141,689","3,381","19,011","2,990","167,071"
,"13,681",‑,582,‑,"14,263"
,"141,221","4,687","13,713","1,680","161,301"
,"13,089",‑,‑,‑,"13,089"
,"8,548",‑,"1,659",2,"10,209"
,"3,734",60,622,"1,325","5,741"
,"180,273","4,747","16,576","3,007","204,603"
,"(38,583)","(1,367)","2,436",(18),"(37,532)"
,"37,525","1,405","(2,392)",(153),"36,385"
,"(1,058)",38,44,(171),"(1,147)"
