Financial assets at fair value through OCI,Column,Column
"Corporate
Sovereign","162
1 9,736","- - 162 - - - - -
18,695 1,041 - - - - - -"
Gross carrying amount,"1 9,898","18,695 1,041 162"
"Add: Fair value reserve ralating to fair value
adjustments (before the ECL balance)",( 6),
"Net carrying amount of financial assets
measured at fair value through OCI","1 9,892",
