Notes (continued),Column,Column,Column
"31 Lease liabilities
Non-current
Current",,"2021
KShs Million
842
290","2020
KShs Million
1,371
15"
,,"1 ,132","1 ,386"
Reconciliation of lease liabilities arising from financing activities:,,,
"31 December 2021
At start of year
Additions and modifications
Interest charged to profit or loss
Foreign exchange revaluation
Cash flows:
- Operating activities (interest paid)
- Payments under leases
At end of year","Buildings Branches ATM Space Others Total
KShs Million KShs Million KShs Million KShs Million KShs Million
175 1,109 36 66 1,386
- 46 19 55 120
13 8 2 5 10 110
- 3 - - 3
(13) (82) (5) (10) (110)
(40) (297) (12) (28) (377)",,
,"135 8 61 4 3 9 3 1 ,132",,
"31 December 2020 Buildings Branches ATM Space Others Total
KShs Million KShs Million KShs Million KShs Million KShs Million
At start of year 40 1,304 20 7 1,371
Additions and modifications 167 5 8 24 79 328
Interest charged to profit or loss 16 140 7 12 175
Translation difference - 1 3 8 12
Cash flows:
- Operating activities (interest paid) (16) (140) (7) (12) (175)
- Payments under leases (32) (254) (11) (28) (325)
At end of year 175 1 ,109 3 6 6 6 1 ,386",,,
Weighted average effective interest rates at the reporting date was:,,"2021
%
9 .44","2020
%
9 .44"
Maturity analysis of lease liabilities is as follows:,,"Group
2021
KShs Million","Group
2020
KShs Million"
"Within 1 year
From 1 year to 5 years
More than 5 years",,"290
842
-","15
1,338
33"
,,"1 ,132","1 ,386"
