"Notes (continued)
37 Current income tax asset/ (liability)
The current income tax payable and current income tax receivable have been separately recognised as
Kenya and South Sudan have no legal enforceable right to set off current tax.
The tax receivable/(payable) from the tax authorities in the jurisdictions of operations are highlighted below;
GROUP",Column,Column,Column,Column
Note,,,"2021
KShs
Million","2020
KShs
Million"
"Kenya operations 37 (a)
Foreign operations 37 (b)
As at 31 December",,,"(1,732)
(19)",
,,,,(3)
,,,"(1,751)",(395)
"37 (a) Current income tax asset/ (liability)
Kenya operations
GROUP COMPANY",,,,
"Note
At 1 January
Exchange difference on translation
Current income tax charge 16
Income tax paid
Transferred to asset held-for-sale
South sudan tax payable 37 (b)
Prior year provision","2021
KShs
Million","2020
KShs
Million","2021
KShs
Million","2020
KShs
Million"
,"(395)
7
(3,356)
2,012
-
(19)
-","(398)
-
(1,373)
1,374
-
(3)
5","16
-
(7)
-
-
-
-","16
-
(5)
-
-
-
5"
,"(1,751)",(395),9,16
"37 (b) Current income tax asset/ (liability)
Foreign operations
GROUP",,,,
Note,,,"2021
KShs Million","2020
KShs Million"
"As at 1 January
Current tax charge",,,"-
19","-
3"
"Transfer to tax payable account 37 (a)
As at 31 December",,,(19),(3)
,,,-,-
