Column,Column,Default,Column,Column,Column,Column,Column,Column,Column
"Stage 1
KShs
million","Stage 2
KShs
million","Stage 3
KShs
million","Purchased/
originated
credit
impaired
KShs
million","Total gross
carrying
amount
of default
exposures
KShs
Million","Securities
and
expected
recoveries
on default
exposures
KShs
million","Interest
in suspense
on default
exposures
KShs
million","Balance
sheet
expected
credit loss
on default
exposures
KShs
million","Gross
default
coverage
%","Non-
performing
exposures
%"
165,19 420,10 450,–,10 450,4 483,1 231,4 736,51,12
"–
–
–
165","6 526
2 240
197
10 457","2 597
1 768
24
6 061","–
–
–
–","2 597
1 768
24
6 061","1 401
173
6
2 903","440
296
–
495","755
1 299
18
2 664","39
77
75
48","7
13
5
15"
82,1 042,14 587,–,14 587,5 702,2 946,6 231,52,17
247,20 462,25 037,–,25 037,10 185,4 177,10 967,52,14
–,–,–,–,–,–,–,–,4,
247,20 462,25 037,–,25 037,10 185,4 177,10 971,52,12
