"Notes (continued)
23 Loans and advances (continued)",Column,Column,Column,Column,Column,Column
23 (g),Loans to employees,,,,,
"The aggregate amount of loans and advances to employees on the statement of financial position is:
GROUP",,,,,,
"At start of year
New loans issued
Interest on loans
Loan repayments
At end of year",,,,,"2024
KShs Million","2023
KShs Million"
,,,,,"3 ,898
1 ,979
6 23
( 2,576)","4,290
1,430
597
(2,419)"
,,,,,"3 ,924","3,898"
"24 Other assets and prepayments
GROUP COMPANY",,,,,,
Note,,,"2024
KShs Million","2023
KShs Million","2024
KShs Million","2023
KShs Million"
"Uncleared effects
Off market loan adjustment
Trade receivables and
prepayments
Due from related companies 42 (g)
Others",,,"6,871
1,409
1,309
860
-","5,002
1,057
1,087
408
54","20
-
-
-
-","20
-
-
-
-"
,,,"1 0,449","7 ,608",20,20
"25 Investment in subsidiaries an
25 (a) Investment in subsidiaries",,,,,,
Company,,,,,,
Company,,,"Beneficial Country of 2024
ownership Incorporation KShs Million",,,"2023
KShs Million"
Stanbic Bank Kenya Limited,,,"100% Kenya 18,010",,,"18,010"
"SBG Securities Limited
Stanbic Bancassurance Intermediary
Limited",,,"100% Kenya 166
100% Kenya 42",,,"166
42"
Stanbic Kenya Foundation Limi,,ted*,100% Kenya -,,,-
,,,"18,218",,,"18,218"
