Dec-15,Dec-14,Change
Kes millions,Kes millions,%
"48,702","52,168",
"23,182","12,863",
"104,981","88,347",
"19,181","15,373",
"2,302","2,408",
"10,104","9,840",
"208,452","180,999",
"47,964","33,570",
"105,707","95,839",
"6,482","6,513",
"9,934","8,182",
"38,365","36,895",
"208,452","180,999",
"26,588","22,524",
"5,175","9,341",
"21,413","13,183",
