Column,Shs'000,Shs'000
Trading liabilities – designated at fair value through profit,,
or loss,-,"648,671"
,-,"648,671"
Maturity analysis,,
Redeemable on demand,-,-
Maturing within 1 month,-,"648,671"
,-,"648,671"
