Financial assets at fair value through OCI,Column,Column
"Corporate
Sovereign","-
30,660","- - - - - - - -
30,660 - - - - - - -"
Gross carrying amount,"30,660",
"Add: Fair value reserve ralating to fair value
adjustments (before the ECL balance)",4,
"Net carrying amount of financial assets
measured at fair value through OCI","30,664",
