Column,DERECOGNITION,MODIFICATION
"Financial
assets","Financial assets are derecognised when the
contractual rights to receive cash flows from the
financialassetshaveexpired,orwheretheBank has
transferreditscontractualrightstoreceivecashflows
on the financial asset such that it has transferred
substantially all the risks and rewards of ownership of
the financial asset. Any interest in the transferred
financial assets that is created or retained by the
Bank is recognised as a separate asset or liability.","Where an existing financial asset or liability is
replaced by another with the same counterparty
on substantially different terms, or the terms of
an existing financial asset or liability are
substantially modified, such an exchange or
modification is treated as a derecognition of the
original asset or liability and the recognition of a
new asset or liability at fair value, including
calculating a new effective interest rate, withthe
difference in the respective carrying amounts
being recognised in other gains and losses on
financial instruments within non-interest
revenue. The date of recognition of a new asset
is consequently considered to be the date of
initial recognition for impairment calculation
purposes."
,"The Bank enters into transactions whereby it
transfers assets, recognised in its statement of
financial position, but retains either all or a portion of
therisksorrewardsofthetransferredassets.Ifallor
substantially all risks and rewards are retained, then
the transferred assets are not derecognised.
Transfers of assets with the retention of all or
substantially all risks and rewards include securities
lending and repurchase agreements.",
,"When assets are sold to a third party with a
concurrent total rate of return swap on the
transferred assets, the transaction is accounted for
as a secured financing transaction, similar to
repurchase transactions. In transactions where the
Bankneitherretainsnortransferssubstantiallyallthe
risks and rewards of ownership of a financial asset,
the asset is derecognised if control over the asset is
lost. The rights and obligations retained in the
transfer are recognised separately as assets and
liabilities as appropriate.
In transfers where control over the asset is retained,
the Bank continues to recognise the asset to the
extent of its continuing involvement, determined by
the extent to which it is exposed to changes in the
value of the transferred asset.","If the terms are not substantially different for
financial assets or financial liabilities, the Bank
recalculates the new gross carrying amount by
discounting the modified cash flows of the
financial asset or financial liability using the
original effective interest rate. The difference
betweenthenew grosscarryingamount andthe
original gross carrying amount is recognised as
a modification gain or loss within credit
impairments (for distressed financial asset
modifications) or in other gains and losses on
financial instruments within non-interest revenue
(for all other modifications)."
"Financial
liabilities","Financial liabilities are derecognised when the
financial liabilities’ obligation is extinguished, that is,
when the obligation is discharged, cancelled or
expires.",
