Year ended 31 December,Column
"2018
KShs’000
6 ,176,072
N/A
( 320,469)
( 891)
( 268,351)","2017
KShs’000
4 ,339,136
2 98,645
N/A
N/A
7 3,788"
"( 589,711)","3 72,433"
"5 ,586,361","4 ,711,569"
