Column,"22 061 875
-
72 260 408
1 515 466
28 380 593
146 604 117
3 727 559
17 500
3 485 095
9 349 759
-
-
3 167 882
-",Column,Column,Column
17 251 087,,15 797 542,,1 453 545
-,,-,,-
70 077 921,,70 077 921,,-
1 611 661,,1 611 661,,-
38 378 001,,24 578 842,,13 799 159
152 816 570,,152 802 134,,14 436
4 911 019,,6 775 144,,(1 864 125)
17 500,,17 500,,-
3 371 044,,3 240 317,,130 727
9 349 759,,9 349 759,,-
1 315 356,,945 639,,369 717
-,,-,,-
4 397 153,,4 409 000,,(11 847)
127 521,,127 521,,-
303 624 592,290 570 254,289 732 980,275 097 478,13 891 612
,"191 584 675
27 909 239
-
-
1 039 983
10 040 568
1 881 658
7 064 013
6 426 698
-",,"180 953 083
26 822 398
-
-
975 595
10 040 568
1 881 658
7 064 013
3 649 540
-",
194 222 319,,184 724 430,,9 497 889
30 450 594,,28 757 048,,1 693 546
1 370 953,,988 482,,382 471
25 273,,25 273,,-
397 781,,388 483,,9 298
1 486 826,,1 486 826,,-
2 756 760,,2 756 760,,-
9 127 015 -,,9 127 015,,-
14 725 225,,13 408 922,,1 316 303
27 081,,27 081,,-
254 589 827,245 946 834,241 690 320,231 386 855,12 899 507
49 034 765,44 623 420,48 042 660,43 710 623,992 105
303 624 592,290 570 254,289 732 980,275 097 478,13 891 612
