"Standards and
amendments",Key requirements,Effective date
"IFRS 3 (issued in
May 2020)","Amendments to IFRS 3 'Business Combinations' - Reference to the
Conceptual Framework are intended to replace a reference to the
Framework for the Preparation and Presentation of Financial
Statements, issued in 1989, with a reference to the Conceptual
Framework for Financial Reporting issued in March 2018 without
significantly changing its requirements. The amendments added an
exception to the recognition principle of IFRS 3 to avoid the issue of
potential ‘day 2’ gains or losses arising for liabilities and contingent
liabilities that would be within the scope of IAS 37 or IFRIC 21 Levies, if
incurred separately. The amendments also clarify that contingent assets
do not qualify for recognition at the acquisition date. The amendments
are not expected to have a material impact on the Group.",01 January 2022
"IAS 16 (issued in
May 2020)","AmendmentstoIAS16'Property,PlantandEquipment:Proceedsbefore
Intended Use' prohibit entities from deductingfrom thecost of an item of
property, plant and equipment, any proceeds from selling items
produced while bringing that asset to the location and condition
necessary for it to be capable of operating in the manner intended by
management. Instead, an entity recognises the proceeds from selling
such items, and the costs of producing those items, in profitor loss.The
amendments are not expected to have a material impact on the Group.",01 January 2022
"IAS 37 (issued in
May 2020)","Amendments to IAS 37 'Onerous Contracts – Costs of Fulfilling a
Contract' specify which costs an entityneeds to include when assessing
whether a contract is onerous or loss-making. The amendments are not
expected to have a material impact on the Group.",01 January 2022
"IFRS 1 (issued in
May 2020)","Amendment to IFRS 1 First-time Adoption of International Financial
Reporting Standards 'Subsidiary as a first-time adopter' permits a
subsidiary that elects to apply paragraph D16(a) of IFRS 1 to measure
cumulative translation differences using the amounts reported by the
parent, based on the parent’s date of transition to IFRS. This
amendment is also applied to an associate or joint venture that elects to
applyparagraphD16(a)ofIFRS1.Theamendmentsarenotexpectedto
have a material impact on the Group.",01 January 2022
"Amendment to
IFRS 9 (issued in
May 2020)","Amendment to IFRS 9 Financial Instruments 'Fees in the ’10 per cent’
testfor derecognitionof financialliabilities' clarifiesthefeesthatanentity
includes when assessing whether the terms of a new or modified
financial liability are substantially different from the terms of the original
financialliability.Thesefees includeonlythosepaidor receivedbetween
theborrower andthelender,includingfees paidor receivedbyeitherthe
borrower or lender on the other’s behalf. The amendments are not
expected to have a material impact on the Group.",01 January 2022
