Column,Column,Increase,Sensitivity of,Sensitivity of other,Decrease,Sensitivity of,Sensitivity of other
,,in basis,net interest,comprehensive,in basis,net interest,comprehensive
,,points,income,income,points,income,income
,,2016,2016,2016,2016,2016,2016
,Currency,KShs’000,KShs’000,KShs’000,KShs’000,KShs’000,KShs’000
,KShs,350,"118,064","(617,187)",300,"(209,179)","529,017"
,Others*,100,-,-,100,"(3,294)",-
"Increase Sensitivity of Sensitivity of other Decrease Sensitivity of Sensitivity of other
in basis net interest comprehensive in basis net interest comprehensive
points income income points income income
2015 2015 2015 2015 2015 2015
Currency KShs’000 KShs’000 KShs’000 KShs’000 KShs’000 KShs’000",,,,,,,
"KShs 350 844,670 (203,213) 300 (901,025) 174,182
Others* 100 8,087 - 100 (6,626) -",,,,,,,
