"- - (318,193) - - (318,193) ( 267,857)"
"- - (20,819) - - (20,819) ( 15,527)"
"( 2,746) - - - - (2,746) ( 2,746)"
"( 16,322) - - - - (16,322) ( 16,322)"
"- - (10,482) - - (10,482) ( 9,571)"
"- - (7,568) - - (7,568) ( 7,568)"
"- - - - (3,304) (3,304) -"
"( 19,068) - (357,062) - (3,304) (379,434) ( 319,591)"
