Buildings,40 years
Computer,3 to 5 years
"equipment
Motor vehicles",4 to 5 years
Office equipment,5 to 10 years
Furniture and fittings,5 to 13 years
Capitalised leased,over the shorter of the
assets,lease term or its useful life
