Group,Column,Company
2014,"2013
KShs ‘000",2014
KShs ‘000,,KShs ‘000
"8,774,316","7,252,194
(2,619,134)
149,745","1,095,610"
"(2,724,750)",,-
-,,-
"6,049,566","4,782,805","1,095,610"
"(19,213,946)","(2,983,651)
1,339,081
1,036,253
(7,948,837)
(615,702)
(401,769)
19,821,076
19,540,588
2,720,113",-
"(5,685)",,-
"(6,215,398)",,-
"(4,371,222)",,-
"(267,378)",,-
"(64,796)",,"(4,646)"
"1,111,037",,-
"7,502,897",,-
"(2,734,753)",,"(150,515)"
"(24,259,244)","32,507,152","(155,161)"
"(18,209,678)","37,289,957","940,449"
,"(301,747)
(49,249)
2,783",
"(461,422)",,-
"(6,500)",,-
"7,325",,-
"(460,597)","(348,213)",-
,"(249,053)
-
(849,979)",
"(976,445)",,"(976,445)"
"4,012,563",,-
"(3,346,898)",,
"(310,780)","(1,099,032)","(976,445)"
,"35,842,712
4,312
5,809,769",
"(18,981,055)",,"(35,996)"
"(65,586)",,-
"41,656,793",,"92,907"
"22,610,152","41,656,793","56,911"
