"Consecutive
number","Mandatory or “apply or
explain” or “good practices”","Part
number",Question,"Kenya code and other
references"
27,M,B.20,"Has the Company appointed a qualified and
competent Company Secretary who is a
member in good standing of ICPSK?",2.3.9
28,A or E,B.21,"Has the Board adopted policies and processes
to ensure oversight of sustainability,
environmental and social risks and issues?","2.3.2, 2.3.6"
29,A or E,B.22,"Has the Board developed an annual work plan
to guide its activities?",2.6.3
30,M,B.23,"Has the Board determined, agreed on its
annual evaluation process and undertaken the
evaluation of the Board, the Board committees,
the CEO and the Company Secretary?","2.6.4, 2.8"
31,A or E,B.24,"Has the Board established and applied a formal
induction programme for incoming members?",2.7.1
32,A or E,B.25,"Do Board members participate in ongoing
corporate governance training to the extent of
12 hours per year?",2.7.3
33,A or E,B.26,"Has the Board set up an independent
Remuneration Committee or assigned to
another Board committee the responsibility for
determination of remuneration of directors?",2.9.2
34,M,B.27,"Has the Board established and approved
formal and transparent remuneration policies
and procedures to attract and retain Board
members?",2.9.1
