"2018
KShs'000 %"
"800,681 1%
7,329,823 8%
12,939,274 14%
622,164 1%
2,002,709 2%
10,663,335 12%
53,322,058 60%
169,858 0%
1,461,523 2%"
"89,311,424 100%"
