Buildings,Branches,ATM Space,Others,Total
KShs Million,KShs Million,KShs Million,KShs Million,KShs Million
342,"1,815",112,257,"2,526"
67,"1,002",16,138,"1,223"
(1),(11),(1),‑,(13)
408,"2,806",127,395,"3,736"
260,"1,303",82,188,"1,833"
38,217,17,45,317
298,"1,520",99,233,"2,150"
110,"1,286",28,162,"1,586"
