Group statement of changes in equity,Column
"For the year ended 31 December 2021 Note Share Capital Share Premium Other Retained Proposed Total Equity
Reserves earnings Dividend
KShs Million KShs Million KShs Million KShs Million KShs Million KShs Million",
"At 1 January 2021
Profit for the year
Other comprehensive income, net of tax
Transfer of statutory reserve
Transfer of excess depreciation
Transactions with owners recorded directly
in equity, contributions by and distributions
to owners of the Group
Dividend payment 18
Proposed dividend 18
Total transactions with owners of the Group","1 ,977 1 6,897 ( 1,349) 3 2,703 1 ,502 5 1,730
- - - 7 ,208 - 7 ,208
- - (312) - - ( 312)
- - 5 ( 5) - -
- - (8) 8 - -"
,"- - - (672) ( 1,502) (2,174)
- - - ( 2,886) 2,886 -"
,"- - - ( 3,558) 1 ,384 ( 2,174)"
At 31 December 2021,"1 ,977 1 6,897 ( 1,664) 3 6,356 2 ,886 5 6,452"
