(a) Group,2016,2015
,KShs’000,KShs’000
At start of year,"42,393","131,001"
Options exercised during the year,"(29,620)","(102,614)"
Equity growth scheme for the year,"1,098","14,006"
At end of year,"13,871","42,393"
