31 December 2024,Performing (Early arrears),Non - performing,"Total
KShs Million"
,"1 to 29 days 30 to 59 days 60 to 89 days
KShs Million KShs Million KShs Million","90 to 180 days More than 180 days
KShs Million KShs Million",
PPB,"4 ,678 1 ,354 1 ,020",- -,"7 ,052"
"Mortgage lending
Vehicle and asset finance
Other loans and advances","2 ,929 8 22 7 27
6 34 7 5 3 6
1 ,115 4 57 2 57","- -
- -
- -","4 ,478
7 45
1 ,829"
BCB,"4 ,341 3 ,743 3 ,208",- -,"1 1,292"
"Mortgage lending
Vehicle and asset finance
Other loans and advances","1 87 2 ,984 -
1 ,416 2 80 5 5
2 ,738 4 79 3 ,153","- -
- -
- -","3 ,171
1 ,751
6 ,370"
Corporate and Investment Banking,"2 ,786 - -",- -,"2 ,786"
Corporate lending,"2 ,786 - -",- -,"2 ,786"
Total recognised financial instruments,"1 1,805 5 ,097 4 ,228",- -,"2 1,130"
