Buildings,40 years
Right-of use assets - Land,over the lease period
Motor vehicles,4-5 years
Computer equipment,3-5 years
Office equipment,5-10 years
Furniture and fittings,5-13 years
Capitalised leased assets,over the shorter of the lease term or its useful life
