Number of ordinary shares,Option price range (ZAR),"Weighted average
price (ZAR)",Option expiry period
"7,000",65.60,65.60,Year to 31 December 2015
"1,300",79.50,79.50,Year to 31 December 2016
"7,000",98.00,98.00,Year to 31 December 2017
"38,550",92.00,92.00,Year to 31 December 2018
"52,500",62.39,62.39,Year to 31 December 2019
"183,125",104.53-111.94,109.41,Year to 31 December 2020
"187,063",97.80-107.55,99.70,Year to 31 December 2021
"476,538",,,
