2016,Column,2016
KShs‘000,,KShs‘000
"2,800,452","9,395,334
6,850,230
6,936,027",-
"9,838,465",,"100,662"
"4,743,607",,-
"17,382,524","23,181,591","100,662"
,"-
-",
"(330,270)",,-
"(63,373)",,-
"(393,643)",-,-
"16,988,881","23,181,591","100,662"
