Group,Column,Column,Company,Column,Column
,2016,"2015
Kshs’000
6,615,386
(1,766,959)",,2016,"2015
Kshs’000
2,404,826
(17,339)"
,Kshs’000,,,Kshs’000,
,"8,256,564",,,"2,839,223",
,"(990,384)",,,"(31,437)",
,,"4,848,427
(16,634,128)
115,685
5,713,016
(887,400)
(291,976)
17,856,455
12,259
9,867,671
521,973
21,121,982
(501,881)
(342,427)
517
(843,791)
(2,352,164)
(31,354)
(2,383,518)
17,894,673
(915,905)
22,610,154",,,"2,387,487
-
-
-
-
6,390
-
10,215
-
-
2,404,092
-
-
-
-
(2,352,164)
-
(2,352,164)
51,928
-
56,911"
"7,266,180",,,"2,807,786",,
,"(10,606,157)",,,-,
,-,,,-,
,"(8,137,509)",,,-,
,"(455,888)",,,-,
,"(1,108,187)",,,"1,651",
,"(12,300,360)",,,-,
,"427,820",,,"16,843",
,"13,081,984",,,-,
,"3,345,745",,,-,
,"(8,486,372)",,,"2,826,280",
,"(373,581)",,,-,
,"(558,470)",,,-,
,"14,612",,,-,
,"(917,439)",,,-,
,"(2,834,458)",,,"(2,834,457)",
,"(2,495,924)",,,-,
,"(5,330,382)",,,"(2,834,457)",
,"(14,734,194)",,,"(8,177)",
,"131,276",,,-,
,"39,588,922",,,"108,839",
"24,986,005",,"39,588,922","100,662",,"108,839"
