"Up to 1 – 6 6 – 12
1 month Months Months Total
Shs’000 Shs’000 Shs’000 Shs’000"
"47,453 - - 47,453
- - 150,981 150,981
- - 10,866 10,866"
"47,453 - 161,847 209,300"
"- - - -
103,296 - - 103,296
- - 220,617 220,617"
"103,296 - 220,617 323,913"
"(55,843) - (58,770) (114,613)"
