Group statement of changes in equity,Column
"For the year ended 31 December 2024 Note Share Capital Share Premium Other Retained Total Equity
Reserves earnings
KShs Million KShs Million KShs Million KShs Million KShs Million",
"At 1 January 2024
Profit for the year
Other comprehensive income, net of tax
Transfer of statutory credit risk reserve
Transfer of revaluation reserves
Transactions with owners recorded directly
in equity, contributions by and distributions
to owners of the Group
2023 final dividend paid 18
2024 interim dividend paid 18
Total transactions with owners of the Group","1 ,977 1 6,897 ( 1,065) 5 0,745 6 8,554
- - - 13,716 1 3,716
- - ( 529) - ( 529)
- - 960 (960) -
- - ( 8) 8 -"
,"- - - ( 5,614) ( 5,614)
- - - ( 727) ( 727)"
,"- - - ( 6,341) ( 6,341)"
At 31 December 2024,"1 ,977 1 6,897 ( 642) 5 7,168 7 5,400"
The notes on pages 20 to 175 form an integral part of these consolidated and separate financial statements,
