"15,424",Column,"1,608",Column,799,"2,686",Column,"20,517",Column
"51,700",,323,,"8,408",14,,"60,445",
-,,-,,-,59,,59,
"6,949",,-,,524,"1,816",,"9,289",
"74,073",,"1,931",,"9,731","4,575",,"90,310",
"49,307",,701,,172,147,,"50,327",
"41,010",,"1,538",,"2,322","2,512",,"47,382",
"7,659",,40,,623,"1,862",,"10,184",
"97,976",,"2,279",,"3,117","4,521",,"107,893",
"(23,903",),(34,8),"6,614",54,,"(17,58",3
"24,575",,391,,"(6,621)",(107,),"18,239",
672,,43,,(7),(53),,656,
