Column,Initiative,Progress
1,"Invest further in Private and Commercial
Banking segments","We are continuously training and developing
our Relationship Management teams"
2,"Raise cheaper deposits i.e. current and
savings accounts to improve margins","Local (7%) and foreign (3%) currency deposit
campaign currently on-going"
3,"Invest significantly in mobile and internet
banking capabilities","MobileApp and new Internet Banking platforms
launched in May 2015"
4,"Invest in non interest revenue activities to
improve returns including bancassurance
agency set up","Bancassurance agency approval received in
July 2015
Bancassurance system implementation on-
going"
5,"Enhance customer experience through
improved turnaround times","Improved TAT by over 50% in our 3 key
products (Unsecured, Homeloans and VAF)"
6,Opening of new branches,"Garden City(July 2015), Changamwe(Sept
2015), Two Rivers and The Hub Karen(Dec
2015)"
