Column,Column,Income statement movements,Column,Column,Column,Column,Column,Column
"Opening
ECL
1 Jan
2022
KShs","Total
transfers
between
stages
KShs","ECL
on new
exposure
raised
KShs","Derecog-
nition
KShs","Subse-
quent
changes
in ECL
KShs","Net ECL
raised/
(released)1
KShs","Impair-
ment
accounts
written-
off
KShs","Exchange
and other
move-
ments
KShs","Closing
ECL
31 Dec
2022
KShs"
91,20,30,(18),(29),(17),-,1,95
12,-,4,(4),5,5,-,-,17
79,20,26,(14),(34),(22),-,1,78
28,(15),16,(1),(5),10,-,(2),21
-,-,-,-,-,-,-,-,-
28,(15),16,(1),(5),10,-,(2),21
39,(6),-,(34),(2),(36),-,2,(1)
-,-,-,-,-,-,-,-,-
39,(6),-,(34),(2),(36),-,2,(1)
158,(1),46,(53),(36),(43),-,1,115
