Column,Share,Capital,Revaluation,Revenue,Proposed,Column
,capital,reserve,reserve,reserve,dividend,Total
,Sh'OOO,Sh'OOO,Sh'OOO,Sh'OOO,Sh'OOO,Sh'OO
At 1January 2004,"600,000","196,841","47,942","1,270,105","100,800","2,215,688"
Exchange differences arising on,,,,,,
translation of aforeign subsidiary,,765,714,891,,"2,370"
Fair value adjustment on quoted,,,,,,
investments,,,"(19,946)",,,"(19,946)"
Net profit for the year,,,,"433,048",,"433,048"
Realised on disposal of investment,,,"(7,749)",,,"(7,749)"
Dividend declared - 2003,,,,,"(100,800)","(100,800)"
Proposed dividend - 2004 (Note 14),,,,"(120,800)","120,800",
Bonus issue of shares,,,,,,
by parent company,"120,000",,,"(120,000)",,
Bonus issue of shares bysubsidiary,,,,,,
companies,,"71,474",,"(71,474)",,
Transfer to revenue reserve,,"(37,908)",,"37,908",,
At 31 December 2004,"720,000","231,172","20,961","1,429,678","120,800","2,522,611"
