Name,Position
Kitili Mbathi*,Chairman
Patrick Mweheire,Chief Executive
Peter Gethi,Non-Executive Director
Rose Osoro,Independent Non-Executive Director
Dorcas Kombo,Independent Non-Executive Director
Wambui Mbesa,Independent Non-Executive Director
Samuel Gikandi**,Independent Non-Executive Director
Joseph Muganda,Independent Non-Executive Director
Nancy Kiruki,Company Secretary
