Column,Level 1,Level 2,Level 3
Fair value determined using;,"Unadjusted quoted prices in
an active market for identical
assets and liabilities.","Valuation models with directly
or indirectly market
observable inputs.","Valuation models using significant non-market
observable inputs."
"Example types of financial
assets","Actively traded government
and other agency securities.
Listed derivative instruments
in an active market.
Listed equities in an active
market.","Corporate and other
government bonds and loans.
Over-the-counter (OTC)
derivatives.","Corporate bonds in illiquid markets.
Highly structured OTC derivatives with unobservable
parameters."
"Example types of financial
liabilities","Listed derivative instruments
in an active market","Over-the-counter (OTC)
derivatives.","Highly structured OTC derivatives with unobservable
parameters."
