"Notes (continued)
42 Related party transactions (continued)
42 (c) Deposits due to group companies non-bank
GROUP",Column,Column,Column,Column,Column,Column
,,,,,"2021
KShs Million","2020
KShs Million"
,"The Heritage Insurance Com
Liberty Life Assurance Kenya
Liberty Kenya Holdings Limite","pany Limited
Ltd
d",,,"297
164
10","268
106
10"
,,,,,471,384
"42 (d) Key management compensation
Keymanagementpersonnelinclude:themembers of theStanbic Holdings Plc boardof directors andprescribed
officers effective for 2021 and 2020. Non-executive directors are included in the definition of key management
personnelasrequiredbyIAS24RelatedPartyDisclosures.Thedefinitionofkeymanagementincludestheclose
family members of key management personnel and any entity over which key management exercise control or
joint control. Close members of family are those family members who may be expected to influence, or be
influenced by that person in their dealings with the Group. They include the person’s domestic partner and
children, the children of the person’s domestic partner, and dependants of the person or the person’s domestic
partner.
Key management have transacted with the Group as indicated in note 42 (e) and 42 (f);",,,,,,
42 (e),,,,,,
Loans and advances to key management,,,,,,
"42 (f) Key management compensation
GROUP COMPANY",,,,,,
"Fees for services as a director
Salaries and other short-term
employment benefits
Post-employment pension
Share-based payments",,,"2021
KShs Million","2020
KShs Million","2021
KShs Million","2020
KShs Million"
,,,"8 3
1 31
4
2 7","59
77
4
18","9
-
-
-","9
-
-
-"
,,,2 45,1 58,9,9
