Company statement of changes in equity,Column
"Note
Year ended 31 December 2024","Attributable to equity holders
Retained
Share Capital Share Premium Total Equity
earnings
KShs Million KShs Million KShs Million KShs Million"
"At 1 January 2024
Profit for the year
Contribution and distributions to owners
2023 final dividend paid 18
2024 interim dividend paid 18","1,977 16,897 (563) 18,311
- - 6,172 6,172"
,"- - (5,614) (5,614)
- - (727) (727)"
Total contributions by and distributions to owners,"- - (6,341) (6,341)"
At 31 December 2024,"1,977 16,897 (732) 18,142"
"Attributable to equity holders
Retained
Note Share Capital Share Premium Total Equity
earnings
Year ended 31 December 2023 KShs Million KShs Million KShs Million KShs Million",
"At 1 January 2023 1,977 16,897 (689) 18,185
Profit for the year - - 5,561 5,561
Contribution and distributions to owners
2022 final dividend paid 18 - - (4,981) (4,981)
2023 interim dividend paid 18 - - (454) (454)",
,"- - (4,981) (4,981)
- - (454) (454)"
"Total contributions by and distributions to owners - - (5,435) (5,435)",
"At 31 December 2023 1,977 16,897 (563) 18,311",
The notes on pages 20 to 175 form an integral part of these consolidated and separate financial statements,
