"Unsecured Secured Netting Secured exposure
31 December 2024 Total exposure
exposure exposure agreements after netting
KShs Million KShs Million KShs Million KShs Million KShs Million
Asset class
Corporate 150,077 21,113 1 28,964 - 128,964
Sovereign 42,181 42,181 - - -
Loans and advances to banks 64,498 64,498 - - -
Group 59,421 59,421 - - -
Other banks 5,077 5 ,077 - - -
Retail 97,947 21,113 7 6,834 - 76,834
Retail mortgage 36,365 - 3 6,365 - 36,365
Other retail 61,582 21,113 4 0,469 - 40,469",Column,Column,Column,Column,Column,Collateral coverage - Total,Column,Column
,Total exposure,"Unsecured
exposure","Secured
exposure","Netting
agreements","Secured exposure
after netting","Greater than 0%
to 50%","Greater than
50% to 100%","Greater than
100%"
,KShs Million,KShs Million,KShs Million,KShs Million,KShs Million,KShs Million,KShs Million,KShs Million
,"150,077
42,181","21,113
42,181","1 28,964
-","-
-","128,964
-","-
-","128,964
-","-
-"
,"64,498","64,498",-,-,-,-,-,-
,"59,421
5,077","59,421
5 ,077","-
-","-
-","-
-","-
-","-
-","-
-"
,"97,947","21,113","7 6,834",-,"76,834",-,"76,834",-
,"36,365
61,582","-
21,113","3 6,365
4 0,469","-
-","36,365
40,469",-,"36,365
40,469","-
-"
Total,"354,703","148,905","2 05,798",-,"205,798",-,"205,798",-
"Less: Impairments for loans
and advances","( 17,970)",,,,,,,
Total exposures,"336,733",,,,,,,
"31 December 2023
Asset class
Corporate
Sovereign
Loans and advances to banks
Group
Other banks
Retail
Retail mortgage
Other retail",,,,,,Collateral coverage - Total,,
,Total exposure,"Unsecured
exposure","Secured
exposure","Netting
agreements","Secured exposure
after netting","Greater than 0%
to 50%","Greater than
50% to 100%","Greater than
100%"
,KShs Million,KShs Million,KShs Million,KShs Million,KShs Million,KShs Million,KShs Million,KShs Million
,"171,222
45,345","4 8
45,345","1 71,174
-","-
-","171,174
-","-
-","171,174
-","-
-"
,"95,706","95,706",-,-,-,-,-,-
,"90,578
5,128","90,578
5 ,128","-
-","-
-","-
-","-
-","-
-","-
-"
,"108,501","21,938","8 6,563",-,"86,563",-,"86,563",-
,"40,416
68,085","-
21,938","4 0,416
4 6,147","-
-","40,416
46,147","-
-","40,416
46,147","-
-"
"Total
Less: Impairments for loans
and advances","420,774
( 19,300)","163,037","2 57,737",-,"257,737",-,"257,737",-
Total exposure,"401,474",,,,,,,
