Dividend,Column,Column,Column,Column
,,2016,,2015
The calculation of dividends per share is based on:,,,,
Dividends for the year attributable to ordinary,,,,
shareholders:,,,,
Interim dividend paid (KShs ‘000),,"699,720",,
Final dividend proposed (KShs ‘000),,"1,375,719",,"2,134,738"
,,"2,075,439",,"2,431,229"
Number of ordinary shares at issue date,"395,322",,"395,322",
(thousands),,,,
Dividends per share – KShs,,5.25,,6.15
