Notes (continued),Column,Column,Column,Column,Column,Column,Column,Column
43 Contingent liabilities - Group,,,,,,,GROUP,
"Commitments were with respect to:
Letters of credit and acceptances
Guarantees
Unutilised facilities",,,,,,,"2021
KShs
Million","2020
KShs
Million"
,,,,,,,"3,919
74,998
14,468","3,427
67,497
11,331"
,,,,,,,"93,385","82,255"
Contingent liabilities - maturity analysis,,,,,,,,
,31 December 2021,"Redeemable
on demand","Maturing
within 1
month","Maturing
after 1 month
but within 6
months","Maturing after
6 months but
within 12
months","Maturing
after 12
months but
within 5
years","Maturing
after 5
years","Total
carrying
value"
,"Letters of credit and
acceptances",384,"1,020","1,825",6 90,-,-,"3,919"
,Guarantees,4,"1,210","14,294","2 7,749","3 1,464",277,"74,998"
,Unutilised facilities,-,"2,291","8,214","3 ,947",1 6,-,"14,468"
,31 December 2020,,,,,,,
,"Letters of credit and
acceptances",622,539,"1,830",4 36,-,-,"3,427"
,Guarantees,38,349,"18,667","2 0,059","2 7,810",574,"67,497"
,Unutilised facilities,-,994,"6,176","4 ,161",-,-,"11,331"
43 (a) Nature of contingent liabilities,,,,,,,,
"Letters of credit commit the Group to make payments to third parties, on production of documents, which are
subsequently reimbursed by the customers.",,,,,,,,
"Guarantees are generally written by a Group to support performance by a customer to third parties. The Group will
only be required to meet these obligations in the event of customers’ default.",,,,,,,,
"An acceptance is an undertaking by the Group to pay a bill of exchange drawn on a customer. The Group expects
most of the acceptances to be presented, and to be reimbursed by the customer almost immediately.",,,,,,,,
