FY 2025,FY 2024
108.1,99.2
123.7,89.2
272.9,230.2
36.5,36.3
541.3,454.8
44.9,20.8
373.7,318.2
13.0,10.5
29.5,29.9
461.1,379.4
80.1,75.4
541.3,454.8
